Symbol,Name,Wtd Alpha,Last,Change,%Chg,52W High,52W Low,52W %Chg,Time
DOV,Dover Corp,14.6,152.94,0.46,0.30%,160.66,127.25,14.36%,2023/12/22
DOW,Dow Inc,8.5,55.12,0.15,0.27%,60.88,47.26,9.87%,2023/12/22
DPZ,Domino's Pizza Inc,23.3,409.84,1.04,0.25%,415.81,285.84,16.36%,2023/12/22
DRI,Darden Restaurants,15.4,161.84,-0.37,-0.23%,173.06,133.36,17.86%,2023/12/22
DTE,Dte Energy Company,-4.2,109.62,-0.12,-0.11%,121.32,90.14,-6.11%,2023/12/22
DUK,Duke Energy Corp,-1.7,96.86,0.5,0.52%,106.43,83.06,-4.99%,2023/12/22
DVA,Davita Healthcare Partners Inc,37.9,104.33,-0.43,-0.41%,116.97,71.51,42.08%,2023/12/22
DVN,Devon Energy Corp,-24.1,45.81,-0.04,-0.09%,66.96,42.59,-23.79%,2023/12/22
DXCM,Dexcom Inc,13.7,122.17,-0.63,-0.51%,139.55,74.75,7.47%,2023/12/22
EA,Electronic Arts Inc,16.2,137.67,-0.21,-0.15%,143.47,108.53,13.38%,2023/12/22
EBAY,Ebay Inc,6.5,43.82,0.09,0.21%,52.23,37.17,9.22%,2023/12/22
ECL,Ecolab Inc,36.2,197.62,0.71,0.36%,201.62,142.19,38.15%,2023/12/22
ED,Consolidated Edison Company,-6.3,89.68,0.47,0.53%,100.92,80.46,-5.76%,2023/12/22
EFX,Equifax Inc,31.2,243.88,1.67,0.69%,252.6,159.95,25.57%,2023/12/22
EG,Everest Re Group,0.8,353.64,-3.99,-1.12%,417.92,328.96,6.26%,2023/12/22
EIX,Edison International,5.9,69.48,0.61,0.89%,74.92,58.82,7.72%,2023/12/22
EL,Estee Lauder Companies,-39.6,144.43,-1.03,-0.71%,283.62,102.22,-40.37%,2023/12/22
ELV,Elevance Health Inc,-5.8,466.59,2.5,0.54%,521.86,412,-8.52%,2023/12/22
EMN,Eastman Chemical Company,13.2,89.73,0.6,0.67%,92.21,68.89,10.25%,2023/12/22
EMR,Emerson Electric Company,5.7,96.44,0.73,0.76%,100.62,76.94,1.43%,2023/12/22
ENPH,Enphase Energy Inc,-42.3,133.99,0.13,0.10%,303,73.49,-55.17%,2023/12/22
EOG,Eog Resources,-4.2,122.27,1.19,0.98%,137.95,98.52,-3.19%,2023/12/22
EPAM,Epam Systems Inc,2.8,296.69,2.39,0.81%,385.96,197.99,-8.21%,2023/12/22
EQIX,Equinix Inc,20,799.68,-1.92,-0.24%,824.86,641.66,22.07%,2023/12/22
EQR,Equity Residential,1.7,61.14,0.32,0.53%,69.45,52.57,3.59%,2023/12/22
EQT,Eqt Corp,7,38.99,-0.03,-0.08%,45.23,28.1,11.40%,2023/12/22
ES,Eversource Energy,-25.6,61.08,0.17,0.28%,86.84,52.03,-26.53%,2023/12/22
ESS,Essex Property Trust,17.5,244.37,2.25,0.93%,251.48,195.03,16.96%,2023/12/22
ETN,Eaton Corp,53.3,238.64,1.35,0.57%,240.44,150.86,52.87%,2023/12/22
ETR,Entergy Corp,-8.5,100.22,0.49,0.49%,115.2,87.1,-11.07%,2023/12/22
ETSY,Etsy Inc,-25.3,84.95,-0.29,-0.34%,149.91,58.2,-33.29%,2023/12/22
EVRG,Evergy Inc,-18.9,51.38,0.31,0.61%,65.39,46.92,-17.94%,2023/12/22
EW,Edwards Lifesciences Corp,-0.7,75.83,0.88,1.17%,94.87,60.57,1.85%,2023/12/22
EXC,Exelon Corp,-21.1,35.26,0.19,0.54%,44.37,34.05,-17.07%,2023/12/22
EXPD,Expeditors Intl,22.9,128.91,2.24,1.77%,129.14,102.75,20.59%,2023/12/22
EXPE,Expedia Group Inc,89.7,155.31,0.79,0.51%,155.6,83.29,83.76%,2023/12/22
EXR,Extra Space Storage Inc,13.1,156.54,0.44,0.28%,170.3,101.19,7.16%,2023/12/22
F,Ford Motor Company,6.7,12.35,0.01,0.08%,15.42,9.63,9.20%,2023/12/22
FANG,Diamondback Energy,15.8,156.39,0.13,0.08%,171.4,119.01,17.69%,2023/12/22
FAST,Fastenal Company,38.2,65.34,0.25,0.38%,65.57,45.7,37.01%,2023/12/22
FCX,Freeport-Mcmoran Inc,14.5,42.38,0.15,0.36%,46.73,32.83,12.50%,2023/12/22
